dominio_hashed,veredicto,raw_output,sector,ciudad,comunidad
c0fb41c9a03c1d9252ff38ae6084533fa7aebf702d342f17c1cdfd7683cdc32c,Suplantación posible,7cc79fe189d654e916842c966c687539b768470eb672c199136a7774ea8c40db,"['leisure, travel & tourism']",Zaragoza,Aragon
0480a37f19f096e15b7ac565b158401387734aa23425c0d461a5df4fef2460e1,Suplantación posible,409a9b57486b5c6bf1d4adeb4e9f739d99d74c4731c48fc40794f430c8044a4b,"['leisure, travel & tourism']",Zaragoza,Aragon
7a2e769de210d890195cb1d2cf9912e2f73e69dcc397fe5dad40eb9516d0a637,Suplantación posible,8c166cff280f609f2e2a3b07e89def0cf2aa9dd8b28273e4b88a017133357a9a,"['leisure, travel & tourism']",Zaragoza,Aragon
e4ede9579b88d0a9c6f0146bbf3747e93db6566bd3fd07d3d452ede9ade8605f,Suplantación posible,1132b85b2b87ebcb5c40bb7ca6c2934e74e1c83bec775e46efdf900916558347,"['leisure, travel & tourism']",Zaragoza,Aragon
5490db3675d612a91e0cd5be1ea06d22b4176c4c885d091b955247b6c0f7fa86,Suplantación posible,eb1edd60152fabb31d6d6fd2dccab0f1500e3d323aad07b61b992003b1d5c08d,"['leisure, travel & tourism']",Zaragoza,Aragon
c5b4757995bcefe02e136958acc478c799b705fff6518c795ed95ea429333835,Suplantación posible,7d73c37bd4878513ac87237000810faf741470ec6a97361967a4ad4f15d548b7,['marketing & advertising'],Madrid,Comunidad de Madrid
5e93fc409f47283e502f4bd28339451f70ece7ec349104399ff2360075b4a6ce,Suplantación posible,2169d3a4fb3b6610c66997e431c00cf5a1ce3a446dd6fcab8459b51a6ea00241,['marketing & advertising'],Madrid,Comunidad de Madrid
d9163315483dc4a57c227e895f46f917cfdef730b8d39a387fd16e8fbe767a7d,Suplantación NO es posible,e95b0e07c69afe9e0b7712b70f00949235f84e36f7eed99d0324dc3a2cfebd8f,['marketing & advertising'],Madrid,Comunidad de Madrid
66da580571875fb089dc5733f45cbbd2bc30c21e05c9e44441656b327e0ce188,Suplantación NO es posible,92b41e7664359530a99f157eab0b1a02a49df639f252b310d383aa827b2d2e41,['marketing & advertising'],Madrid,Comunidad de Madrid
216e5010c36937dcf2f2ebdd11cac9f41300b25c3aee7f25157adfe649f83a39,Suplantación posible,3b4c956e31ec3e6e21c8bcb757aab6f0a5c8d113a6e965b6857aa47d8b96ccbe,['marketing & advertising'],Madrid,Comunidad de Madrid
e3e6ba84eb604c3b2e7ef9347e54334af95a23749f3c600890d194f097c557bb,Suplantación posible,479b26ad25c3551f7ffff1da5621b69dc96bc3e570708d8f37a4b53dbd9584aa,['marketing & advertising'],Madrid,Comunidad de Madrid
ddc0a64e3607590a8fd632c805c3ce654803eec469f7ed5c9a8d8104dbcc9ed2,Suplantación posible,229c8fd04d3a809297aa033823535bc04f1f95c7e62a1d597bf3bcb3489d2ab1,['marketing & advertising'],Madrid,Comunidad de Madrid
76adf0446876b2fa08f68a70d1d76d402f45fe2a9d772f4c33ffa06a17b73926,Suplantación posible,e5936d1c4892d384c680fc86252e8c992e6d5eb2dc1b3c9bfb4025822b0c8e24,['telecommunications'],Madrid,Community of Madrid
5248db59ebb057180a5239e7785cac363e362473f3ebf2a5f39ba1d51dbddd85,Suplantación posible,a53398e39afd72eb43a086375a9c25c3f463ac00a820a5df68955d7d547c8278,['telecommunications'],Madrid,Community of Madrid
30626c618df1f4a7ee1c5315bc46b4822b9c3c9979f2b6d4c600132033c7f8d2,Suplantación posible,145ef2ba10711117f3fca46c3d7e9f27bcb43246f0ef6460a0a2ae54507c1c73,['telecommunications'],Madrid,Community of Madrid
d929bd727ceee3efefaf25dfd205aaab5c905ad0b086b63f91da1308a2b252b2,Suplantación NO es posible,5e9faf0344361824d77972acd0a2b817ad00cdc8e22b27112da22046cf38378a,['telecommunications'],Madrid,Community of Madrid
594b77e64002c4caa9e071e18683eacdb1c607fee4538d2a45e4af4afc6ee675,Suplantación NO es posible,e24c55c266d7f5176d9140cbaab54f9bc019ba1a96cfa0d948a0b4cf39f385f2,['telecommunications'],Madrid,Community of Madrid
89a8af07d208f3e2c13995d639d4e90bbfcb0d98fe7427267088a5f7f8831d8a,Suplantación NO es posible,951699722bb78bf383e20345e4c6b7c9ca09d17b314a829a6e44db0b3e309b31,['telecommunications'],Madrid,Community of Madrid
b0d7d8fea5b145032ba05c2407a0045936e5970c4e37781385a35777ae25bf04,Suplantación NO es posible,9c3521ffa57513b68bb832e7e8ea80addaaff6dacd571b0cf622f2b4fc4a7af8,['internet'],Madrid,Community of Madrid
50fc07ef3100de0f00accc2ff9e6690b32a3c5a2f3607e64810d1a49eace35ea,Suplantación posible,e4a326e0ba5373d7dda0f51e3139d5e737de91d3ea27a73efb998fb6410e8fdd,['internet'],Madrid,Community of Madrid
